ID,Size Input,Knuth's BST,Bisection heuristic BST,Perfectly Balanced BST
408,408,14660792,14717736,15336770
409,409,15098858,15151288,15776831
410,410,15874507,15933355,16533052
411,411,15063835,15119882,15728510
412,412,15574213,15631232,16213497
413,413,15798689,15853227,16460055
414,414,14853579,14907789,15542494
415,415,16415431,16470336,17066881
416,416,15874188,15923356,16493140
417,417,15938005,15993786,16588369
418,418,15450917,15504227,16157364
419,419,14836877,14885259,15491717
420,420,16303279,16362201,16958320
421,421,15194760,15248389,15885659
422,422,14907582,14959219,15573411
423,423,16258207,16315885,16886973
424,424,15610294,15665494,16289765
425,425,15578534,15629924,16248200
426,426,15247460,15305058,15933312
427,427,14966979,15021663,15656306
428,428,14916072,14974112,15608211
429,429,16829977,16886931,17505173
430,430,14987721,15039042,15711836
431,431,15968187,16022492,16605277
432,432,15510387,15565851,16232894
433,433,15913431,15967414,16607287
